Date,NVD-Awaiting,NVD-Analyzed,NVD-Modified,NVD-Rejected,NVD-Other,ADP-Done,ADP-Extra,ADP-Todo
2024-05-31T14:07:51.000,13207,129440,95425,14215,19,6182,685,7024
2024-06-03T07:21:00.000,13214,129435,95408,14217,174,6174,693,7039
2024-06-04T07:45:11.000,13358,129434,95409,14221,158,6174,693,7183
2024-06-05T07:48:24.000,13520,129430,95414,14228,117,6171,696,7348
2024-06-06T07:53:19.000,13551,129435,95416,14240,169,6171,696,7379
2024-06-10T14:38:15.000,13913,129463,95414,14253,168,6822,879,7090
2024-06-13T06:34:14.000,14057,129643,95483,14269,250,7427,1216,6629
2024-06-14T14:48:00.000,14545,129639,95487,14275,113,7913,1128,6631
2024-06-17T10:27:19.000,14588,129702,95483,14278,216,7939,1379,6648
2024-06-18T07:00:12.000,14587,129782,95484,14280,214,8152,1409,6434
2024-06-20T09:39:26.000,15001,129806,95483,14290,155,8282,1433,6718
2024-06-21T07:11:41.000,15096,129839,95495,14302,139,8588,1529,6507
2024-06-24T06:56:04.000,15078,129826,95516,14303,267,8658,1596,6419
2024-06-25T08:05:50.000,15128,129907,95518,14302,262,8749,1642,6378
