CVE,Published,Modified,Status
CVE-2021-4437,2024-02-12T20:15:07.993,2024-05-17T02:03:39.323,Awaiting Analysis
CVE-2021-46757,2024-02-13T20:15:50.060,2024-02-14T13:59:35.580,Awaiting Analysis
CVE-2022-34310,2024-02-12T18:15:07.830,2024-02-12T20:39:15.693,Awaiting Analysis
CVE-2022-48623,2024-02-13T05:15:08.530,2024-02-13T14:01:07.747,Awaiting Analysis
CVE-2022-38714,2024-02-12T18:15:08.057,2024-02-12T20:39:15.693,Awaiting Analysis
CVE-2023-6935,2024-02-09T23:15:08.030,2024-02-11T22:29:15.837,Awaiting Analysis
CVE-2023-39249,2024-02-14T08:15:09.013,2024-02-14T13:59:35.580,Awaiting Analysis
CVE-2023-26562,2024-02-13T16:15:08.187,2024-02-13T18:23:02.393,Awaiting Analysis
CVE-2023-5679,2024-02-13T14:15:45.677,2024-04-26T09:15:08.843,Awaiting Analysis
CVE-2023-5680,2024-02-13T14:15:45.850,2024-05-03T13:15:21.093,Awaiting Analysis
CVE-2023-51440,2024-02-13T09:15:46.830,2024-02-13T14:01:07.747,Awaiting Analysis
CVE-2023-51403,2024-02-12T07:15:10.247,2024-02-12T14:20:03.287,Awaiting Analysis
CVE-2023-6499,2024-02-12T16:15:08.230,2024-02-12T17:31:21.670,Awaiting Analysis
CVE-2023-46615,2024-02-12T09:15:11.717,2024-02-12T14:19:54.330,Awaiting Analysis
CVE-2023-31346,2024-02-13T20:15:52.737,2024-02-14T13:59:35.580,Awaiting Analysis
CVE-2023-31347,2024-02-13T20:15:52.790,2024-02-14T13:59:35.580,Awaiting Analysis
CVE-2023-50358,2024-02-13T03:15:07.963,2024-02-15T06:15:45.960,Awaiting Analysis
CVE-2023-6081,2024-02-12T16:15:08.063,2024-02-12T17:31:21.670,Awaiting Analysis
CVE-2023-6072,2024-02-13T10:15:08.227,2024-02-13T14:01:00.987,Awaiting Analysis
CVE-2023-6082,2024-02-12T16:15:08.120,2024-02-12T17:31:21.670,Awaiting Analysis
CVE-2023-6036,2024-02-12T16:15:07.983,2024-02-12T17:31:21.670,Awaiting Analysis
CVE-2023-5517,2024-02-13T14:15:45.510,2024-05-03T13:15:20.990,Awaiting Analysis
CVE-2023-47218,2024-02-13T03:15:07.700,2024-02-15T06:15:45.653,Awaiting Analysis
CVE-2023-51370,2024-02-12T07:15:09.637,2024-02-12T14:20:03.287,Awaiting Analysis
CVE-2023-45718,2024-02-09T22:15:08.167,2024-02-11T22:29:15.837,Awaiting Analysis
CVE-2023-49125,2024-02-13T09:15:46.173,2024-05-14T16:15:47.657,Awaiting Analysis
